date,evictions,unemployment_rate,school_absenteeism,poverty_rate,er_visits
49:17.0,61,4.5781820337059695,17.875382072205795,6.869739838355354,108
49:17.0,24,6.617007403531848,9.889383578028271,5.07557100553459,92
49:17.0,81,6.474407590877849,8.303615713483225,5.938465995123936,91
49:17.0,70,5.96744087359019,15.667242986570267,4.793448605161206,125
49:17.0,30,4.570399113575422,17.14251569209573,7.280595976059764,81
49:17.0,92,5.494212020444026,10.22998980937594,3.5711592628016824,114
49:17.0,96,8.05670976374325,6.442648266371311,3.0362940394179074,87
49:17.0,84,8.450877702656028,19.10784896734406,7.395260904640453,105
49:17.0,84,7.529799873905057,10.963580316312836,4.359917674584295,113
49:17.0,97,9.131504392566745,12.7662702579122,3.4965864189994935,86
49:17.0,33,7.755385127509722,17.565651588609917,5.7774867904972185,147
49:17.0,12,9.074798377718903,15.13535175558921,3.3553797172757784,137
49:17.0,31,8.750192888948996,16.02824178861158,9.20632004265462,108
49:17.0,62,6.747253370691017,8.136074311065705,3.193317403115933,115
49:17.0,11,4.977050582452057,13.121719607413487,7.052054268552911,100
49:17.0,97,6.354091260991332,15.436765990176232,6.069318861126609,115
49:17.0,39,7.8442062633180365,8.428250326959494,7.704182947066395,89
49:17.0,47,7.829611783087483,7.624323906439043,5.297068672323124,103
49:17.0,11,7.4564889385386355,19.732525149941534,4.085291317094209,143
49:17.0,73,5.873608964950321,12.749538369065213,9.872886218173718,128
49:17.0,69,7.306217129238506,8.912437622456135,8.872534514485544,115
49:17.0,30,6.4146343737689495,19.943805496368867,9.022832328181726,103
49:17.0,42,9.358560476945518,19.481290269331904,4.751759523611049,102
49:17.0,85,8.74456912133042,13.374401804106464,3.2718431410059625,141
49:17.0,67,8.108647605824366,18.239545147840097,5.12285860271256,116
49:17.0,31,5.679924598744779,7.830606625120691,6.759576990376588,91
49:17.0,98,5.78034161380662,9.183070288882728,5.286558692572286,134
49:17.0,58,4.702167947692157,15.505367449591569,8.79508302651312,92
49:17.0,68,8.053314448428937,17.699917133574587,4.900800410738193,102
49:17.0,51,5.054454104059157,17.844864378171387,9.756762812735388,109
49:17.0,69,6.69668250932885,11.067621906832851,6.200856131296099,96
49:17.0,89,5.508596011676981,18.316551481414397,8.89416152508387,141
49:17.0,24,8.978817978367598,17.76392673151269,4.360660237964112,92
49:17.0,71,6.876851115910559,19.034524913314215,5.87947733539675,138
49:17.0,71,7.316377859881918,16.780109766709153,7.896585475370356,98
49:17.0,56,7.977580432130638,15.034823820713429,3.9684716469246095,128
49:17.0,71,5.196657272029379,13.71029932154682,3.9292179557007887,91
49:17.0,60,7.522086896389086,10.584241498426145,9.786758069799113,140
49:17.0,64,7.199205456508365,19.102001636866675,8.002165729259666,98
49:17.0,73,5.515306123673847,19.60495755132976,3.2874726173751307,88
49:17.0,12,9.214267852789906,9.258814621061985,5.791746310113561,107
49:17.0,60,7.49432733244268,9.5804579051659,6.0346451630651945,131
49:17.0,16,7.973924665198522,12.284206303793399,8.208298500993807,95
49:17.0,30,8.902339195076289,11.726362144793711,4.756023691426629,148
49:17.0,82,7.621770240668966,19.91686193916231,4.29033572031959,91
49:17.0,48,5.97816842918857,7.638878790160181,3.5661107663203837,104
49:17.0,27,5.027471299151353,5.271130454232813,5.998201324580754,131
49:17.0,13,6.782672852414551,12.40840572775152,7.8194993053575645,132
49:17.0,98,5.592202186084168,7.682340638319932,3.4073551685591053,102
49:17.0,69,6.5825497393518315,10.497031768742898,9.406496093385364,95
49:17.0,23,8.91640129459434,16.162557845848433,6.096465608117731,136
49:17.0,18,6.1217251050263695,15.81409886378194,4.678511514101823,118
49:17.0,99,5.110439773503367,9.620911877785838,3.6571130305690422,132
49:17.0,62,6.281489190384875,13.13810345832349,4.280061979751151,121
49:17.0,11,9.03414220772877,12.6322111525814,9.542297981377967,137
49:17.0,93,5.8606612469231765,14.544989272788431,7.467894156903453,118
49:17.0,69,7.738450602706812,8.756927279083762,6.6168738019859665,93
49:17.0,80,4.502601884976579,13.848062713408158,7.599779299501168,84
49:17.0,53,6.262844281670845,19.683392874125136,6.049710290745237,114
49:17.0,17,6.023906290790145,12.301132294391827,8.110275215932731,97
49:17.0,56,5.323279265714708,18.59148181577831,3.3340128938415416,88
49:17.0,44,7.17044709687721,11.51591548265643,6.962260473458534,137
49:17.0,87,6.924149856794916,10.251176115420135,4.110525133497437,96
49:17.0,90,7.962180164451352,14.676550430458473,3.8411525346394955,86
49:17.0,45,5.847061668992607,15.033860894946494,5.393157667014811,125
49:17.0,59,5.720627611238871,17.96251347607855,3.6425934606940933,92
49:17.0,13,5.341455210864653,8.452779023623329,3.6590989178799207,119
49:17.0,11,5.5938210978653515,12.487900698271286,5.17989316573906,121
49:17.0,15,7.290510010086706,13.580062988137747,9.856573700350559,88
49:17.0,63,6.5191808552902035,16.528310214594633,4.227311889225369,129
49:17.0,13,4.8244612355449075,5.654056576316506,3.1201277128222515,106
49:17.0,63,5.7695770696717235,19.918257661960116,8.343550961027375,145
49:17.0,72,5.734380314193006,12.049167709864143,8.648390839355457,84
49:17.0,27,7.981521364198942,9.19340512695138,5.424130247625806,108
49:17.0,99,8.06135294962221,18.252410333993886,6.25271669057728,116
49:17.0,53,5.24043465,16.215781608461207,7.5484157784993435,117
49:17.0,43,9.48870242524471,19.2960777053593,3.336412469379236,87
49:17.0,83,5.8339050713764244,9.961254570057704,9.6440201211397,144
49:17.0,71,9.383074779163264,13.291474502532349,9.206762711086332,96
49:17.0,23,6.555185066591156,13.584387037562575,4.826255363391997,124
49:17.0,57,4.665253664502742,19.704973755740685,3.107131782032693,83
49:17.0,24,6.225356240133415,6.130193840091923,9.53405415655638,115
49:17.0,81,7.671756723506819,9.585455289307728,6.507279187406814,149
49:17.0,87,7.903527257773834,7.86366546725519,6.775642138800437,110
49:17.0,96,7.154672916585682,9.027122853352353,7.7877463857869875,98
49:17.0,71,6.738915822865458,12.279198114144735,7.310958150729396,140
49:17.0,49,7.26446544535664,10.590303006410739,9.6072412319253,133
49:17.0,94,7.463483619396968,10.920372002142084,9.609761179876172,118
49:17.0,89,4.904266631663576,17.66319711089467,9.070392534885027,98
49:17.0,91,6.348272280307022,18.95025252216248,7.454825182122079,118
49:17.0,62,5.7107996913871295,6.056241962743158,8.6066450627768,146
49:17.0,33,8.515698781899479,8.133780764230403,7.740178396680872,124
49:17.0,35,6.851503172230192,15.067152752360759,7.013569291703533,92
49:17.0,98,9.417115704474215,10.379701719442458,3.899502472637371,137
49:17.0,69,6.4941222122227655,8.812454736046082,8.67842923715202,99
49:17.0,50,8.58215936609692,9.42935882628408,8.744476330207688,140
49:17.0,38,8.491725624922756,9.838261463579007,7.381577690711009,118
49:17.0,24,5.253587719827148,17.730046923870116,8.742987906398877,80
49:17.0,54,7.040993883703593,7.049319971630432,7.5603934030045155,82
49:17.0,74,7.979064033954409,15.63366495365178,4.446790519137218,141
